%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,mocap.linear.x,mocap.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1.61300075759796E+018,785,1.61300075757761E+018,odom,base_link,-1.08727645874,3.20990562439,0,0,0,0.812656250822,0.582743355175,0.0710722597004,0.908449225552,0,0,0,1.64887200194
1.61300075759797E+018,786,1.61300075758787E+018,odom,base_link,-1.08796095848,3.21803593636,0,0,0,0.812488095533,0.582977782268,0.0846956157237,0.792733106847,0,0,0,1.67723258313
1.61300075759828E+018,787,1.61300075759805E+018,odom,base_link,-1.08830368519,3.22615695,0,0,0,0.812293174202,0.583249345601,0.0426946337861,0.797200804185,0,0,0,1.62430089502
1.613000757608E+018,788,1.61300075760774E+018,odom,base_link,-1.08995807171,3.23359394073,0,0,0,0.812223981658,0.58334569821,0.216750789428,0.767808807823,0,0,0,1.84593456837
1.61300075764998E+018,789,1.6130007576184E+018,odom,base_link,-1.09048986435,3.24071097374,0,0,0,0.812073023411,0.583555828219,0.0633302434969,0.667882338086,0,0,0,1.66533611367
1.61300075764999E+018,790,1.61300075762855E+018,odom,base_link,-1.09241259098,3.24719834328,0,0,0,0.812052015729,0.583585061281,0.240251604833,0.638777392148,0,0,0,1.93054121861
1.61300075765E+018,791,1.61300075763763E+018,odom,base_link,-1.09268927574,3.25313782692,0,0,0,0.811913261742,0.583778087467,0.0386910001152,0.654493820455,0,0,0,1.62984352043
1.61300075765001E+018,792,1.61300075764774E+018,odom,base_link,-1.09295248985,3.25833892822,0,0,0,0.811793784523,0.583944219434,0.0330415823529,0.514492591501,0,0,0,1.63492993948
1.6130007576979E+018,793,1.61300075765739E+018,odom,base_link,-1.09356439114,3.26319622993,0,0,0,0.811711944617,0.584057975689,0.0804519270548,0.503248294666,0,0,0,1.72932022416
1.61300075769792E+018,794,1.61300075766793E+018,odom,base_link,-1.09322392941,3.26730465889,0,0,0,0.811573908244,0.584249768042,-0.0409916289559,0.389793685667,0,0,0,1.46601906954
1.61300075769792E+018,795,1.61300075767778E+018,odom,base_link,-1.09364461899,3.27110409737,0,0,0,0.811505584176,0.584344664433,0.0541938769229,0.385691460368,0,0,0,1.71039336967
1.61300075769793E+018,796,1.61300075768789E+018,odom,base_link,-1.09431135654,3.27491402626,0,0,0,0.81145686524,0.584412316652,0.0836647898895,0.376735737893,0,0,0,1.789328012
1.6130007577459E+018,797,1.61300075769769E+018,odom,base_link,-1.09448504448,3.27858781815,0,0,0,0.811372352825,0.584529644304,0.0224863126918,0.374796294772,0,0,0,1.63072058716
1.61300075774591E+018,798,1.61300075770804E+018,odom,base_link,-1.095261693,3.28184700012,0,0,0,0.811347403581,0.584564274227,0.0952450786502,0.314962449306,0,0,0,1.86445476155
1.61300075774593E+018,799,1.61300075771846E+018,odom,base_link,-1.09548652172,3.28438401222,0,0,0,0.811297603816,0.584633387724,0.0273859563981,0.24351785348,0,0,0,1.68278553996
1.61300075774593E+018,800,1.61300075773008E+018,odom,base_link,-1.09574723244,3.28640317917,0,0,0,0.811264562131,0.584679237044,0.0284849223635,0.17384432967,0,0,0,1.7332061813
1.61300075774594E+018,801,1.61300075773794E+018,odom,base_link,-1.09538960457,3.28827214241,0,0,0,0.811186076752,0.58478812307,-0.0576739091585,0.237509474397,0,0,0,1.33257925352
1.6130007577899E+018,802,1.61300075774782E+018,odom,base_link,-1.09546613693,3.28950357437,0,0,0,0.811159377659,0.584825156808,0.00983094065752,0.124650065822,0,0,0,1.64950172355
1.61300075778991E+018,803,1.61300075775793E+018,odom,base_link,-1.09544074535,3.29061460495,0,0,0,0.811127747879,0.584869025186,-0.00318908986574,0.109960121364,0,0,0,1.54180221392
1.61300075778991E+018,804,1.61300075776772E+018,odom,base_link,-1.09532010555,3.29135775566,0,0,0,0.811098308649,0.584909850923,-0.0156299000336,0.075870794153,0,0,0,1.36763171939
1.61300075778992E+018,805,1.61300075777786E+018,odom,base_link,-1.09529030323,3.29197597504,0,0,0,0.811079469286,0.584935974704,-0.00373047537925,0.0609801974061,0,0,0,1.50969727644
1.61300075778993E+018,806,1.61300075778795E+018,odom,base_link,-1.09533059597,3.29243087769,0,0,0,0.811070586835,0.584948291024,0.00506959366665,0.0451021205533,0,0,0,1.68272906282
1.61300075782992E+018,807,1.61300075779811E+018,odom,base_link,-1.09548640251,3.29273891449,0,0,0,0.811074851617,0.584942377568,0.0194494098541,0.0303008976256,0,0,0,2.14143904557
1.61300075782997E+018,808,1.61300075780784E+018,odom,base_link,-1.09540784359,3.29296374321,0,0,0,0.811062587803,0.584959382065,-0.0102490688279,0.0231138785832,0,0,0,1.15343093952
1.61300075782997E+018,809,1.61300075781861E+018,odom,base_link,-1.09551751614,3.29307222366,0,0,0,0.811068472259,0.584951223016,0.0129262263215,0.0100752878955,0,0,0,2.47951125521
1.6130007578382E+018,810,1.61300075783793E+018,odom,base_link,-1.0956608057,3.29307150841,0,0,0,0.811079949207,0.584935309239,0.00941185123211,-3.70214974155E-05,0,0,0,-3.13765917594
1.61300075784808E+018,811,1.61300075784789E+018,odom,base_link,-1.09570729733,3.2929391861,0,0,0,0.81108718727,0.584925272702,0.00591822048478,-0.0132733839397,0,0,0,-1.99021149372
1.61300075788994E+018,812,1.61300075785768E+018,odom,base_link,-1.09573066235,3.29270529747,0,0,0,0.81109527904,0.584914052078,0.00303141438154,-0.0239122466918,0,0,0,-1.69689613215
